id,twitterlink,caption,likes,shares,posttime,postdatetime,collecttime,videotranscriptionpath,videocontext,,politicalbias,misleading,criticism,videoaudiopairing,videocaptionpairing,audiocaptionparing,,label
56,https://x.com/FoxNews/status/1986069479546061029,“We can’t be extorted to give $1.5 trillion dollars to people who came into the country illegally.” President Trump blasts Democrats’ demands as the government shutdown drags into Day 36.,6627,1035,"5:53 AM · Nov 5, 2025",2025-11-05T13:53:57.000Z,2025/11/5 13:15,,,,,,,,,,,
57,https://x.com/BreitbartNews/status/1986074081851330750,"Bookmark this clip of Mamdani supporters for later ""We got the best mayor possible""",459,173,"6:12 AM · Nov 5, 2025",2025-11-05T14:12:15.000Z,2025/11/5 13:19,,,,,,,,,,,
58,https://x.com/NewsAlgebraIND/status/1986162567157629061,"Trump again raises the plane count in the India-Pakistan war to eight, after earlier saying five, six, or seven. TRUMP : ""Eight planes were shot down essentially"" Still no course correction despite New York poll defeat 😅",177,27,"12:03 PM · Nov 5, 2025",2025-11-05T20:03:51.000Z,2025/11/5 13:20,,,,,,,,,,,
59,https://x.com/BarronTNews_/status/1986127926492864929,"🚨BREAKING: The U.S. Supreme Court looks ready to STRIKE DOWN President Trump’s emergency tariff powers. Even Gorsuch called it a “one-way ratchet” of power toward the presidency. Kavanaugh questioned why no president before Trump used it. Barrett mocked the idea of tariffing allies like Spain and France. They’re acting like defending America’s industries is some kind of crime. The Court is flirting with neutering the very tools that made Trump’s economy WORK. If they strip this power, China wins. Plain and simple.",2264,838,"9:46 AM · Nov 5, 2025",2025-11-05T17:46:12.000Z,2025/11/5 13:25,,,,,,,,,,,
60,https://x.com/jcokechukwu/status/1986169748212576657,"Fox News’ Roberts: Would you support U.S. Troops going into Nigeria? “You bet I would…62,000 Christians killed….and it’s probably underestimated. We cannot allow this to happen to people who cannot defend themselves. It’s just absolutely insane! We need to get involved in something like this. President Trump can end that in a heartbeat.” - Sen. Tommy Tuberville. With this level of passionate and overwhelming support from both the House and Senate, I think the next line of action is anyone’s guess at this point. Help is on the way!",267,181,"12:32 PM · Nov 5, 2025",2025-11-05T20:32:23.000Z,2025/11/5 13:28,,,,,,,,,,,
61,https://x.com/allenanalysis/status/1986171542854668573,"Fox News calls Mamdani’s speech “aggressive” because he talked about free buses and childcare. You know what’s actually aggressive? Letting billionaires dodge taxes while families can’t afford rent. They’re not upset about his tone, they’re terrified of his priorities.",387,68,"12:39 PM · Nov 5, 2025",2025-11-05T20:39:31.000Z,2025/11/5 13:30,,,,,,,,,,,
62,https://x.com/Indian_Analyzer/status/1986059546482315522,"🚨After Pakistan, Turkey now gets ‘Greater Bangladesh’ artwork from Mohd Yunus, showing Assam & India’s Northeast as part of Bangladesh. ~ News18 reports it even carried 'BATTLE PLANS' for post-victory governance 🤯Yunus is openly provoking India. Time to PUNISH?",1626,391,"5:14 AM · Nov 5, 2025",2025-11-05T13:14:29.000Z,2025/11/5 13:33,,,,,,,,,,,
63,https://x.com/CrimeLdn/status/1986122266661224638,Today in Birmingham..,408,207,"9:23 AM · Nov 5, 2025",2025-11-05T17:23:43.000Z,2025/11/5 13:38,,,,,,,,,,,
64,https://x.com/ABC/status/1986154961688817923,"""We lost a little bit of sovereignty last night in New York."" President Trump said Wednesday he'll ""take care"" of New York City after self-described democratic socialist Zohran Mandani won the city's mayoral election on Tuesday night. https://abcnews.link/Dn8wBXX",42,22,"11:33 AM · Nov 5, 2025",2025-11-05T19:33:38.000Z,2025/11/5 13:40,,,,,,,,,,,
65,https://x.com/BreitbartNews/status/1986076884627575211,Imagine being this self-absorbed and neurotic,200,51,"6:23 AM · Nov 5, 2025",2025-11-05T14:23:23.000Z,2025/11/5 13:41,,,,,,,,,,,
